date,COD,avg_inflow,iso_label,iso_score,iso_anomaly,lstm_error,lstm_anomaly,both,only_if,only_lstm,neither
2014-01-02,740.0,2.961,1,0.04116950071631181,0,,0,0,0,0,1
2014-01-05,836.0,3.225,1,0.054156641240960535,0,,0,0,0,0,1
2014-01-06,850.0,3.354,1,0.07799507498513619,0,,0,0,0,0,1
2014-01-07,1016.0,3.794,1,0.07875620383817278,0,,0,0,0,0,1
2014-01-08,820.0,3.75,1,0.056648261532352806,0,,0,0,0,0,1
2014-01-09,1110.0,3.507,1,0.010824849769442368,0,,0,0,0,0,1
2014-01-12,730.0,3.188,1,0.03129534388739069,0,0.011143138463204482,0,0,0,0,1
2014-01-13,710.0,3.378,1,0.024363642313838585,0,0.012441627082948756,0,0,0,0,1
2014-01-14,830.0,3.425,-1,-0.016565410602600972,1,0.016274253995485568,0,0,1,0,0
2014-01-15,870.0,3.775,-1,-0.0006882916261806704,1,0.019074457271971546,0,0,1,0,0
2014-01-16,590.0,3.763,-1,-0.00013347369408711618,1,0.0221195597513684,0,0,1,0,0
2014-01-19,1200.0,3.487,1,0.06496306044460626,0,0.022201775573894474,0,0,0,0,1
2014-01-20,930.0,3.604,1,0.04413491222753568,0,0.02231887891048114,1,0,0,1,0
2014-01-21,1011.0,3.6,1,0.09454608980990858,0,0.02079474746667798,0,0,0,0,1
2014-01-22,980.0,3.481,1,0.023055552172539406,0,0.020477496532788974,0,0,0,0,1
2014-01-23,862.0,3.623,1,0.042881283256431924,0,0.015439168677577856,0,0,0,0,1
2014-01-24,760.0,3.785,1,0.05777033282096178,0,0.013132787386928513,0,0,0,0,1
2014-01-27,690.0,3.596,1,0.037515210805764254,0,0.013071376297233452,0,0,0,0,1
2014-01-28,573.0,3.642,1,0.015352095985843917,0,0.015272060491060332,0,0,0,0,1
2014-01-29,720.0,3.519,1,0.07882628752245807,0,0.013618697761429986,0,0,0,0,1
2014-01-30,840.0,3.541,1,0.0741766394222641,0,0.01365867576478447,0,0,0,0,1
2014-02-02,688.0,3.526,1,0.019092135339628002,0,0.015966201891058397,0,0,0,0,1
2014-02-03,781.0,3.542,1,0.08732958247112754,0,0.015940502002320552,0,0,0,0,1
2014-02-04,783.0,3.332,1,0.09265312256477204,0,0.014949700380855796,0,0,0,0,1
2014-02-05,740.0,3.249,1,0.02858369242872738,0,0.013340395600726234,0,0,0,0,1
2014-02-06,770.0,3.408,1,0.008828711082497276,0,0.014975012429491053,0,0,0,0,1
2014-02-09,755.0,3.498,1,0.04283495636681173,0,0.016820854994142452,0,0,0,0,1
2014-02-10,871.0,3.488,1,0.09129890688578923,0,0.017215881439096904,0,0,0,0,1
2014-02-11,871.0,3.448,1,0.06854571739481524,0,0.01555412179985989,0,0,0,0,1
2014-02-12,841.0,3.426,1,0.04141483234871407,0,0.016379398045024657,0,0,0,0,1
2014-02-13,833.0,3.456,1,0.0692889023236799,0,0.01642738960885657,0,0,0,0,1
2014-02-16,715.0,3.611,1,0.09629691810697871,0,0.015059281626080001,0,0,0,0,1
2014-02-17,828.0,3.601,1,0.08400206990908682,0,0.01239963621361505,0,0,0,0,1
2014-02-18,907.0,3.703,1,0.09143990999806761,0,0.010769340526921082,0,0,0,0,1
2014-02-19,811.0,3.585,1,0.02279172771438165,0,0.012351234546574096,0,0,0,0,1
2014-02-20,809.0,3.561,1,0.0907044823189112,0,0.012160789779192846,0,0,0,0,1
2014-02-23,949.0,3.519,1,0.07767733036734065,0,0.011736638771324578,0,0,0,0,1
2014-02-24,843.0,3.39,1,0.07718838524408439,0,0.011363038095355275,0,0,0,0,1
2014-02-25,944.0,3.478,1,0.08766469847051844,0,0.010889764872224355,0,0,0,0,1
2014-02-26,979.0,3.564,1,0.09267505900212447,0,0.011762022487091173,0,0,0,0,1
2014-02-27,869.0,3.67,1,0.08381725550794605,0,0.01300877382859637,0,0,0,0,1
2014-03-02,702.0,3.563,1,0.10896965897254485,0,0.009167125256677981,0,0,0,0,1
2014-03-03,870.0,3.569,1,0.08004233442192599,0,0.009044061930030493,0,0,0,0,1
2014-03-04,874.0,3.441,1,0.045918759428753286,0,0.010553347969872532,0,0,0,0,1
2014-03-05,801.0,3.505,1,0.10122009230849177,0,0.010275399177914975,0,0,0,0,1
2014-03-06,955.0,3.521,1,0.09500995966469328,0,0.010452836382898591,0,0,0,0,1
2014-03-07,868.0,3.571,1,0.08630780989225656,0,0.010815240869877259,0,0,0,0,1
2014-03-10,820.0,3.448,1,0.057498167126829536,0,0.012886062098215353,0,0,0,0,1
2014-03-11,840.0,3.599,1,0.0537615600100827,0,0.012874164218618913,0,0,0,0,1
2014-03-12,930.0,3.349,1,0.09661901960470382,0,0.01159901033753764,0,0,0,0,1
2014-03-13,810.0,3.31,1,0.09726079390827241,0,0.010894196039247666,0,0,0,0,1
2014-03-16,710.0,3.499,1,0.08354136478774815,0,0.011566328945410233,0,0,0,0,1
2014-03-17,750.0,3.476,1,0.09814475117049987,0,0.012265893293278004,0,0,0,0,1
2014-03-18,850.0,3.402,1,0.0972339503560733,0,0.010574687196456947,0,0,0,0,1
2014-03-19,930.0,3.36,1,0.09348184246005764,0,0.01044021121266579,0,0,0,0,1
2014-03-20,915.0,3.4,1,0.02577414387277105,0,0.012095967108554258,0,0,0,0,1
2014-03-23,970.0,3.451,1,0.07256476960668579,0,0.012325987720539175,0,0,0,0,1
2014-03-24,845.0,3.426,1,0.0752243689013507,0,0.011648230859143054,0,0,0,0,1
2014-03-25,925.0,3.427,1,0.08631279854519758,0,0.011692479232340297,0,0,0,0,1
2014-03-26,845.0,3.444,1,0.021321266998424904,0,0.012800386612951516,0,0,0,0,1
